date,cases,death,country,population
2020-11-01T15:00:00Z,81001,440,United_States_of_America,329064917
2020-10-31T15:00:00Z,78934,848,United_States_of_America,329064917
2020-10-30T15:00:00Z,101273,1040,United_States_of_America,329064917
2020-10-29T15:00:00Z,88130,968,United_States_of_America,329064917
2020-10-28T15:00:00Z,78371,977,United_States_of_America,329064917
2020-10-27T15:00:00Z,75129,988,United_States_of_America,329064917
2020-10-26T15:00:00Z,68359,505,United_States_of_America,329064917
2020-10-25T15:00:00Z,59440,331,United_States_of_America,329064917
2020-10-24T15:00:00Z,83056,904,United_States_of_America,329064917
2020-10-23T15:00:00Z,85329,953,United_States_of_America,329064917
2020-10-22T15:00:00Z,72058,841,United_States_of_America,329064917
2020-10-21T15:00:00Z,62978,1135,United_States_of_America,329064917
2020-10-20T15:00:00Z,58549,933,United_States_of_America,329064917
2020-10-19T15:00:00Z,60160,459,United_States_of_America,329064917
2020-10-18T15:00:00Z,47843,385,United_States_of_America,329064917
2020-10-17T15:00:00Z,56611,690,United_States_of_America,329064917
2020-10-16T15:00:00Z,70256,899,United_States_of_America,329064917
2020-10-15T15:00:00Z,63785,828,United_States_of_America,329064917
2020-10-14T15:00:00Z,59386,970,United_States_of_America,329064917
2020-10-13T15:00:00Z,52517,817,United_States_of_America,329064917
2020-10-12T15:00:00Z,41653,314,United_States_of_America,329064917
2020-10-11T15:00:00Z,43597,394,United_States_of_America,329064917
2020-10-10T15:00:00Z,54271,590,United_States_of_America,329064917
2020-10-09T15:00:00Z,58082,1014,United_States_of_America,329064917
2020-10-08T15:00:00Z,56800,972,United_States_of_America,329064917
2020-10-07T15:00:00Z,48182,892,United_States_of_America,329064917
2020-10-06T15:00:00Z,43062,717,United_States_of_America,329064917
2020-10-05T15:00:00Z,40705,398,United_States_of_America,329064917
2020-10-04T15:00:00Z,34901,400,United_States_of_America,329064917
2020-10-03T15:00:00Z,50659,678,United_States_of_America,329064917
2020-10-02T15:00:00Z,54471,908,United_States_of_America,329064917
2020-10-01T15:00:00Z,44771,880,United_States_of_America,329064917
2020-09-30T15:00:00Z,41982,930,United_States_of_America,329064917
2020-09-29T15:00:00Z,43017,928,United_States_of_America,329064917
2020-09-28T15:00:00Z,32998,314,United_States_of_America,329064917
2020-09-27T15:00:00Z,36248,259,United_States_of_America,329064917
2020-09-26T15:00:00Z,45368,723,United_States_of_America,329064917
2020-09-25T15:00:00Z,55013,964,United_States_of_America,329064917
2020-09-24T15:00:00Z,44213,901,United_States_of_America,329064917
2020-09-23T15:00:00Z,37930,1102,United_States_of_America,329064917
2020-09-22T15:00:00Z,38307,926,United_States_of_America,329064917
2020-09-21T15:00:00Z,53153,372,United_States_of_America,329064917
2020-09-20T15:00:00Z,39852,251,United_States_of_America,329064917
2020-09-19T15:00:00Z,40295,669,United_States_of_America,329064917
2020-09-18T15:00:00Z,50209,956,United_States_of_America,329064917
2020-09-17T15:00:00Z,43567,831,United_States_of_America,329064917
2020-09-16T15:00:00Z,24598,865,United_States_of_America,329064917
2020-09-15T15:00:00Z,51473,1407,United_States_of_America,329064917
2020-09-14T15:00:00Z,34841,451,United_States_of_America,329064917
2020-09-13T15:00:00Z,33871,378,United_States_of_America,329064917
2020-09-12T15:00:00Z,40820,685,United_States_of_America,329064917
2020-09-11T15:00:00Z,48061,1227,United_States_of_America,329064917
2020-09-10T15:00:00Z,37507,974,United_States_of_America,329064917
2020-09-09T15:00:00Z,31927,1136,United_States_of_America,329064917
2020-09-08T15:00:00Z,27122,471,United_States_of_America,329064917
2020-09-07T15:00:00Z,24250,267,United_States_of_America,329064917
2020-09-06T15:00:00Z,30555,403,United_States_of_America,329064917
2020-09-05T15:00:00Z,44140,773,United_States_of_America,329064917
2020-09-04T15:00:00Z,51071,968,United_States_of_America,329064917
2020-09-03T15:00:00Z,36249,1053,United_States_of_America,329064917
2020-09-02T15:00:00Z,38754,1055,United_States_of_America,329064917
2020-09-01T15:00:00Z,44639,1091,United_States_of_America,329064917
2020-08-31T15:00:00Z,33850,529,United_States_of_America,329064917
2020-08-30T15:00:00Z,35581,290,United_States_of_America,329064917
2020-08-29T15:00:00Z,44143,1006,United_States_of_America,329064917
2020-08-28T15:00:00Z,49654,949,United_States_of_America,329064917
2020-08-27T15:00:00Z,45909,1110,United_States_of_America,329064917
2020-08-26T15:00:00Z,42848,1228,United_States_of_America,329064917
2020-08-25T15:00:00Z,38119,1207,United_States_of_America,329064917
2020-08-24T15:00:00Z,38298,473,United_States_of_America,329064917
2020-08-23T15:00:00Z,34506,444,United_States_of_America,329064917
2020-08-22T15:00:00Z,44378,956,United_States_of_America,329064917
2020-08-21T15:00:00Z,49880,1151,United_States_of_America,329064917
2020-08-20T15:00:00Z,44005,1078,United_States_of_America,329064917
2020-08-19T15:00:00Z,47426,1356,United_States_of_America,329064917
2020-08-18T15:00:00Z,44091,1324,United_States_of_America,329064917
2020-08-17T15:00:00Z,35056,445,United_States_of_America,329064917
2020-08-16T15:00:00Z,42104,571,United_States_of_America,329064917
2020-08-15T15:00:00Z,48085,1035,United_States_of_America,329064917
2020-08-14T15:00:00Z,64838,1336,United_States_of_America,329064917
2020-08-13T15:00:00Z,51094,1083,United_States_of_America,329064917
2020-08-12T15:00:00Z,55941,1490,United_States_of_America,329064917
2020-08-11T15:00:00Z,46813,1076,United_States_of_America,329064917
2020-08-10T15:00:00Z,49530,523,United_States_of_America,329064917
2020-08-09T15:00:00Z,46847,513,United_States_of_America,329064917
2020-08-08T15:00:00Z,56221,1069,United_States_of_America,329064917
2020-08-07T15:00:00Z,58150,1252,United_States_of_America,329064917
2020-08-06T15:00:00Z,59755,1848,United_States_of_America,329064917
2020-08-05T15:00:00Z,52804,1450,United_States_of_America,329064917
2020-08-04T15:00:00Z,57525,1403,United_States_of_America,329064917
2020-08-03T15:00:00Z,45607,543,United_States_of_America,329064917
2020-08-02T15:00:00Z,47511,413,United_States_of_America,329064917
2020-08-01T15:00:00Z,58407,1133,United_States_of_America,329064917
2020-07-31T15:00:00Z,67023,1244,United_States_of_America,329064917
2020-07-30T15:00:00Z,68032,1357,United_States_of_America,329064917
2020-07-29T15:00:00Z,74985,1457,United_States_of_America,329064917
2020-07-28T15:00:00Z,61734,1245,United_States_of_America,329064917
2020-07-27T15:00:00Z,56243,1076,United_States_of_America,329064917
2020-07-26T15:00:00Z,55993,475,United_States_of_America,329064917
2020-07-25T15:00:00Z,65498,914,United_States_of_America,329064917
2020-07-24T15:00:00Z,78427,1304,United_States_of_America,329064917
2020-07-23T15:00:00Z,63196,1052,United_States_of_America,329064917
2020-07-22T15:00:00Z,68848,1124,United_States_of_America,329064917
2020-07-21T15:00:00Z,72048,1160,United_States_of_America,329064917
2020-07-20T15:00:00Z,56750,372,United_States_of_America,329064917
2020-07-19T15:00:00Z,61796,415,United_States_of_America,329064917
2020-07-18T15:00:00Z,63749,853,United_States_of_America,329064917
2020-07-17T15:00:00Z,71494,908,United_States_of_America,329064917
2020-07-16T15:00:00Z,76930,939,United_States_of_America,329064917
2020-07-15T15:00:00Z,67717,953,United_States_of_America,329064917
2020-07-14T15:00:00Z,68518,861,United_States_of_America,329064917
2020-07-13T15:00:00Z,58114,400,United_States_of_America,329064917
2020-07-12T15:00:00Z,57258,391,United_States_of_America,329064917
2020-07-11T15:00:00Z,63051,717,United_States_of_America,329064917
2020-07-10T15:00:00Z,66625,806,United_States_of_America,329064917
2020-07-09T15:00:00Z,63004,982,United_States_of_America,329064917
2020-07-08T15:00:00Z,58906,829,United_States_of_America,329064917
2020-07-07T15:00:00Z,57473,1174,United_States_of_America,329064917
2020-07-06T15:00:00Z,49990,359,United_States_of_America,329064917
2020-07-05T15:00:00Z,49093,271,United_States_of_America,329064917
2020-07-04T15:00:00Z,45221,242,United_States_of_America,329064917
2020-07-03T15:00:00Z,54442,694,United_States_of_America,329064917
2020-07-02T15:00:00Z,53399,678,United_States_of_America,329064917
2020-07-01T15:00:00Z,52048,652,United_States_of_America,329064917
2020-06-30T15:00:00Z,43880,1270,United_States_of_America,329064917
2020-06-29T15:00:00Z,41556,336,United_States_of_America,329064917
2020-06-28T15:00:00Z,38673,265,United_States_of_America,329064917
2020-06-27T15:00:00Z,42486,500,United_States_of_America,329064917
2020-06-26T15:00:00Z,45527,623,United_States_of_America,329064917
2020-06-25T15:00:00Z,40949,2437,United_States_of_America,329064917
2020-06-24T15:00:00Z,34339,751,United_States_of_America,329064917
2020-06-23T15:00:00Z,34720,826,United_States_of_America,329064917
2020-06-22T15:00:00Z,31390,427,United_States_of_America,329064917
2020-06-21T15:00:00Z,25793,256,United_States_of_America,329064917
2020-06-20T15:00:00Z,34158,607,United_States_of_America,329064917
2020-06-19T15:00:00Z,29909,678,United_States_of_America,329064917
2020-06-18T15:00:00Z,27762,717,United_States_of_America,329064917
2020-06-17T15:00:00Z,25559,754,United_States_of_America,329064917
2020-06-16T15:00:00Z,23705,836,United_States_of_America,329064917
2020-06-15T15:00:00Z,19957,395,United_States_of_America,329064917
2020-06-14T15:00:00Z,19543,296,United_States_of_America,329064917
2020-06-13T15:00:00Z,25540,767,United_States_of_America,329064917
2020-06-12T15:00:00Z,25639,849,United_States_of_America,329064917
2020-06-11T15:00:00Z,22883,896,United_States_of_America,329064917
2020-06-10T15:00:00Z,20614,918,United_States_of_America,329064917
2020-06-09T15:00:00Z,18665,999,United_States_of_America,329064917
2020-06-08T15:00:00Z,18822,493,United_States_of_America,329064917
2020-06-07T15:00:00Z,22302,712,United_States_of_America,329064917
2020-06-06T15:00:00Z,22223,659,United_States_of_America,329064917
2020-06-05T15:00:00Z,25178,932,United_States_of_America,329064917
2020-06-04T15:00:00Z,21140,1036,United_States_of_America,329064917
2020-06-03T15:00:00Z,19699,994,United_States_of_America,329064917
2020-06-02T15:00:00Z,20544,1034,United_States_of_America,329064917
2020-06-01T15:00:00Z,21086,764,United_States_of_America,329064917
2020-05-31T15:00:00Z,19807,602,United_States_of_America,329064917
2020-05-30T15:00:00Z,23297,945,United_States_of_America,329064917
2020-05-29T15:00:00Z,25337,1219,United_States_of_America,329064917
2020-05-28T15:00:00Z,21817,1175,United_States_of_America,329064917
2020-05-27T15:00:00Z,18721,1526,United_States_of_America,329064917
2020-05-26T15:00:00Z,18910,696,United_States_of_America,329064917
2020-05-25T15:00:00Z,19064,500,United_States_of_America,329064917
2020-05-24T15:00:00Z,20568,633,United_States_of_America,329064917
2020-05-23T15:00:00Z,21236,1080,United_States_of_America,329064917
2020-05-22T15:00:00Z,24147,1305,United_States_of_America,329064917
2020-05-21T15:00:00Z,25434,1263,United_States_of_America,329064917
